kecamatan,kelurahan,lintang_selatan,bujur_timur,parameter,hasil_analisa
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Indeks Pencemaran,0
Sawah Besar,Kartini,"06o09’11,4”","106o49’54,4”",Kategori,MemenuhiBaku Mutu
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Warna,63
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Kekeruhan,0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Air Raksa,<0.0003
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Besi (Fe),0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Fluorida,0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Cadmium (Cd),0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Kesadahan,110
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Krom Heksavalen,<0.003
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Mangan (Mn),1
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Nitrat,0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Nitrit,0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Seng (Zn),<0.01
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Sulfat,16
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Timah Hitam (Pb),0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Detergen,0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Zat Organik,4
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Total Coliform,0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",E.Coli,0
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Indeks Pencemaran,3
Sawah Besar,Mangga Dua Selatan,"06o08’16,8” ","106o49’38,0”",Kategori,Tercemar Ringan
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Warna,25
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Kekeruhan,3.13
Sawah Besar,Pasar Baru (Pasar Baru Gedung Seksi Kebersihan),"06o09’41,3” ","106o49’48,4”	",Air Raksa,<0.0003
